quarter,locality,ret_med_rent_lease_cm,ret_med_rent_cont_date,ret_vacancy_rate
2012-Q2,Central Area - Outside Orchard,6.49,6.69,5.9
2012-Q2,Orchard,10.67,10.63,5.3
2012-Q2,Outside Central Area,6.65,5.89,4.9
2012-Q3,Central Area - Outside Orchard,6.43,6.63,7.6
2012-Q3,Orchard,10.66,10.62,6.3
2012-Q3,Outside Central Area,6.59,5.88,4.8
2012-Q4,Central Area - Outside Orchard,6.44,6.65,6.4
2012-Q4,Orchard,10.67,10.62,5.2
2012-Q4,Outside Central Area,6.60,5.90,4.3
2013-Q1,Central Area - Outside Orchard,6.37,6.57,5.8
2013-Q1,Orchard,10.59,10.57,6.4
2013-Q1,Outside Central Area,6.49,5.87,4.6
2013-Q2,Central Area - Outside Orchard,6.28,6.54,6.8
2013-Q2,Orchard,10.51,10.53,6.7
2013-Q2,Outside Central Area,6.43,5.86,4.5
2013-Q3,Central Area - Outside Orchard,6.38,6.64,7.0
2013-Q3,Orchard,10.70,10.72,7.1
2013-Q3,Outside Central Area,6.59,5.92,4.1
2013-Q4,Central Area - Outside Orchard,6.41,6.67,5.3
2013-Q4,Orchard,10.69,10.72,4.5
2013-Q4,Outside Central Area,6.63,5.95,4.1
2014-Q1,Central Area - Outside Orchard,6.39,6.64,6.3
2014-Q1,Orchard,10.77,10.80,7.8
2014-Q1,Outside Central Area,6.60,5.96,5.2
2014-Q2,Central Area - Outside Orchard,6.41,6.66,6.9
2014-Q2,Orchard,10.82,10.85,7.4
2014-Q2,Outside Central Area,6.65,6.02,5.2
2014-Q3,Central Area - Outside Orchard,6.43,6.68,7.4
2014-Q3,Orchard,10.85,10.88,7.9
2014-Q3,Outside Central Area,6.66,6.04,5.8
2014-Q4,Central Area - Outside Orchard,6.49,6.75,7.0
2014-Q4,Orchard,10.93,10.96,5.6
2014-Q4,Outside Central Area,6.67,6.05,5.3
2015-Q1,Central Area - Outside Orchard,6.47,6.72,9.6
2015-Q1,Orchard,10.86,10.89,7.2
2015-Q1,Outside Central Area,6.66,6.04,5.4
2015-Q2,Central Area - Outside Orchard,6.42,6.67,10.3
2015-Q2,Orchard,10.81,10.85,7.9
2015-Q2,Outside Central Area,6.64,6.02,5.6
2015-Q3,Central Area - Outside Orchard,6.30,6.53,10.2
2015-Q3,Orchard,10.75,10.75,7.9
2015-Q3,Outside Central Area,6.50,5.90,5.4
2015-Q4,Central Area - Outside Orchard,6.19,6.42,9.5
2015-Q4,Orchard,10.56,10.56,7.6
2015-Q4,Outside Central Area,6.48,5.88,6.1
2016-Q1,Central Area - Outside Orchard,6.05,6.27,8.9
2016-Q1,Orchard,10.40,10.40,8.8
2016-Q1,Outside Central Area,6.39,5.80,6.4
2016-Q2,Central Area - Outside Orchard,5.79,6.00,9.3
2016-Q2,Orchard,10.00,10.05,9.2
2016-Q2,Outside Central Area,6.19,5.62,6.8
2016-Q3,Central Area - Outside Orchard,5.69,5.89,11.3
2016-Q3,Orchard,9.82,9.88,8.0
2016-Q3,Outside Central Area,6.14,5.58,7.3
2016-Q4,Central Area - Outside Orchard,5.63,5.81,8.5
2016-Q4,Orchard,9.80,9.87,6.8
2016-Q4,Outside Central Area,6.05,5.50,7.2
2017-Q1,Central Area - Outside Orchard,5.47,5.65,8.8
2017-Q1,Orchard,9.76,9.85,7.6
2017-Q1,Outside Central Area,5.83,5.30,7.3
2017-Q2,Central Area - Outside Orchard,5.39,5.57,9.3
2017-Q2,Orchard,9.64,9.73,7.7
2017-Q2,Outside Central Area,5.78,5.25,7.6
2017-Q3,Central Area - Outside Orchard,5.42,5.61,9.2
2017-Q3,Orchard,9.74,9.80,7.4
2017-Q3,Outside Central Area,5.65,5.14,7.9
2017-Q4,Central Area - Outside Orchard,5.37,5.56,8.2
2017-Q4,Orchard,9.74,9.80,6.0
2017-Q4,Outside Central Area,5.66,5.15,7.3
2018-Q1,Central Area - Outside Orchard,5.38,5.56,8.2
2018-Q1,Orchard,9.79,9.85,6.1
2018-Q1,Outside Central Area,5.66,5.16,7.5
2018-Q2,Central Area - Outside Orchard,5.31,5.50,8.4
2018-Q2,Orchard,9.77,9.85,6.0
2018-Q2,Outside Central Area,5.59,5.09,7.2
2018-Q3,Central Area - Outside Orchard,5.24,5.43,8.3
2018-Q3,Orchard,9.72,9.79,5.9
2018-Q3,Outside Central Area,5.55,5.05,7.6
2018-Q4,Central Area - Outside Orchard,5.26,5.44,8.8
2018-Q4,Orchard,9.87,9.94,5.1
2018-Q4,Outside Central Area,5.73,5.22,8.9
2019-Q1,Central Area - Outside Orchard,5.22,5.41,9.3
2019-Q1,Orchard,9.88,9.97,6.1
2019-Q1,Outside Central Area,5.78,5.27,8.9
2019-Q2,Central Area - Outside Orchard,5.18,5.37,9.2
2019-Q2,Orchard,9.81,9.68,5.8
2019-Q2,Outside Central Area,5.64,5.27,7.5
2019-Q3,Central Area - Outside Orchard,5.25,5.46,8.3
2019-Q3,Orchard,10.06,9.82,5.9
2019-Q3,Outside Central Area,5.70,5.30,7.5
2019-Q4,Central Area - Outside Orchard,5.40,5.66,8.3
2019-Q4,Orchard,10.45,10.07,8.0
2019-Q4,Outside Central Area,5.78,5.35,7.1
